Chief among these motives was the overwhelming idea of the great whale himself.	jj-in-dt-nns-vbd-dt-jj-nn-in-dt-jj-nn-prp-.	ch-iy-f ah-m-ah-ng dh-iy-z m-ow-t-ih-v-z w-aa-z dh-ah ow-v-er-w-eh-l-m-ih-ng ay-d-iy-ah ah-v dh-ah g-r-ey-t w-ey-l hh-ih-m-s-eh-l-f .	1 0/1 1 1/0 1 0 0/0/1/0 0/1/0 1 0 1 1 0/1 .
In this same New Bedford there stands a Whaleman's Chapel, and few are the moody fishermen, shortly bound for the Indian Ocean or Pacific, who fail to make a Sunday visit to the spot.	in-dt-jj-jj-nnp-ex-nns-dt-nnps-nnp-,-cc-jj-vbp-dt-jj-nns-,-rb-vbn-in-dt-nnp-nnp-cc-jj-,-wp-vb-to-vb-dt-nnp-nn-to-dt-nn-.	ih-n dh-ih-s s-ey-m n-uw b-eh-d-f-er-d dh-eh-r s-t-ae-n-d-z ey w-aa-l-m-aa-n-z ch-ae-p-ah-l , ae-n-d f-y-uw aa-r dh-ah m-uw-d-iy f-ih-sh-er-m-eh-n , sh-ao-r-t-l-iy b-aw-n-d f-ao-r dh-ah ih-n-d-iy-ah-n ow-sh-ah-n ao-r p-ah-s-ih-f-ih-k , hh-uw f-ey-l t-uw m-ey-k ey s-ah-n-d-ey v-ih-z-ah-t t-uw dh-ah s-p-aa-t .	0 1 1 1 1/0 1 1 1 1/1 1/0 , 1 1 1 0 1/0 1/1/0 , 1/0 1 1 0 1/0 1/0 1 0/1/0 , 1 1 1 1 1 1/1 1/0 1 0 1 .
SACRED TO THE MEMORY OF ROBERT LONG, WILLIS ELLERY, NATHAN COLEMAN, WALTER CANNY, SETH MACY, AND SAMUEL GLEIG, Forming one of the boats' crews OF THE SHIP ELIZA Who were towed out of sight by a Whale, On the Off-shore Ground in the PACIFIC, December 31st, 1839.	jj-to-dt-nnp-in-nnp-jj-,-nnp-nnp-,-nnp-nnp-,-nnp-jj-,-nnp-nnp-,-cc-nnp-nnp-,-vbg-cd-in-dt-nns-'-nns-in-dt-nnp-nnp-wp-vbd-vbd-in-in-nn-in-dt-nnp-,-in-dt-nnp-nnp-in-dt-jj-,-nnp-nn-,-cd-.	s-ey-k-r-ah-d t-uw dh-ah m-eh-m-er-iy ah-v r-aa-b-er-t l-ao-ng , w-ih-l-ih-s eh-l-er-iy , n-ae-th-ah-n k-ah-l-m-ah-n , w-ao-l-t-er k-ae-n-iy , s-eh-th m-ey-s-iy , ae-n-d s-ae-m-uw-ah-l g-l-iy-g , f-ao-r-m-ih-ng w-ah-n ah-v dh-ah b-ow-t-s ' k-r-uw-z ah-v dh-ah sh-ih-p ih-l-iy-z-ah hh-uw w-er t-ow-d aw-t ah-v s-ay-t b-ay ey w-ey-l , aa-n dh-ah aa-f-sh-ao-r g-r-aw-n-d ih-n dh-ah p-ah-s-ih-f-ih-k , d-ah-s-ah-m-b-er s-t , 839 .	1/0 1 0 1/0/0 1 1/0 1 , 1/1 1/0 , 1/0 0/0 , 1/0 1/0 , 1 1/0 , 1 1/1 1 , 1/0 1 1 0 1 ' 1 1 0 1 1/1/0 1 0 1 1 1 1 1 1 1 , 1 0 1/1 1 0 0 0/1/0 , 0/0/0 0 , 1839 .
SACRED TO THE MEMORY OF The late CAPTAIN EZEKIEL HARDY, Who in the bows of his boat was killed by a Sperm Whale on the coast of Japan, AUGUST 3d, 1833.	jj-to-dt-nnp-in-dt-jj-nnp-nnp-jj-,-wp-in-dt-nns-in-prp$-nn-vbd-vbn-in-dt-nnp-nnp-in-dt-nn-in-nnp-,-jj-nn-,-cd-.	s-ey-k-r-ah-d t-uw dh-ah m-eh-m-er-iy ah-v dh-ah l-ey-t k-ae-p-t-ah-n iy-z-iy-k-iy-l hh-aa-r-d-iy , hh-uw ih-n dh-ah b-aw-z ah-v hh-ih-z b-ow-t w-aa-z k-ih-l-d b-ay ey s-p-er-m w-ey-l aa-n dh-ah k-ow-s-t ah-v jh-ah-p-ae-n , aa-g-ah-s-t d , 833 .	1/0 1 0 1/0/0 1 0 1 1/0 1/1/0 1/0 , 1 0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0/1 , 1/0 0 , 1833 .
It needs scarcely to be told, with what feelings, on the eve of a Nantucket voyage, I regarded those marble tablets, and by the murky light of that darkened, doleful day read the fate of the whalemen who had gone before me.	prp-vbz-rb-to-vb-vbd-,-in-wp-nns-,-in-dt-nn-in-dt-nnp-nn-,-prp-vbn-dt-nn-nns-,-cc-in-dt-jj-nn-in-in-vbd-,-jj-nn-vb-dt-nn-in-dt-nn-wp-vbd-vbn-in-prp-.	ih-t n-iy-d-z s-k-eh-r-s-l-iy t-uw b-iy t-ow-l-d , w-ih-dh w-ah-t f-iy-l-ih-ng-z , aa-n dh-ah iy-v ah-v ey n-ae-n-t-ah-k-ah-t v-oy-ah-jh , iy r-ah-g-aa-r-d-ah-d dh-ow-z m-aa-r-b-ah-l t-ey-b-ah-l-ah-t-s , ae-n-d b-ay dh-ah m-er-k-iy l-ay-t ah-v dh-ae-t d-aa-r-k-ah-n-d , d-ow-l-f-ah-l d-ey r-eh-d dh-ah f-ey-t ah-v dh-ah w-aa-l-m-ah-n hh-uw hh-ae-d g-ao-n b-ih-f-ao-r m-iy .	1 1 1/0 1 1 1 , 1 1 1/0 , 1 0 1 1 1 1/1/0 1/0 , 0 0/1/0 1 1/0 1/0/0 , 1 1 0 1/0 1 1 1 1/0 , 1/0 1 1 0 1 1 0 1/0 1 1 1 0/1 1 .
Yes, it was the famous Father Mapple, so called by the whalemen, among whom he was a very great favourite.	uh-,-prp-vbd-dt-jj-nnp-nnp-,-rb-vbn-in-dt-nn-,-in-wp-prp-vbd-dt-jj-jj-nn-.	y-eh-s , ih-t w-aa-z dh-ah f-ey-m-ah-s f-aa-dh-er m-ae-p-ah-l , s-ow k-ao-l-d b-ay dh-ah w-aa-l-m-ah-n , ah-m-ah-ng hh-uw-m hh-iy w-aa-z ey v-eh-r-iy g-r-ey-t f-aa-v-r-ay-t .	1 , 1 1 0 1/0 1/0 1/0 , 1 1 1 0 1/0 , 0/1 1 1 1 1 1/0 1 0/1 .
"In black distress, I called my God, When I could scarce believe him mine, He bowed his ear to my complaints-- No more the whale did me confine.	"-in-jj-nn-,-prp-vbn-prp$-nnp-,-wrb-prp-md-jj-vbp-prp-vbp-,-prp-vbd-prp$-nn-to-prp$-nns-cd-dt-jjr-dt-nn-vbd-prp-vbp-.	" ih-n b-l-ae-k d-ih-s-t-r-eh-s , iy k-ao-l-d m-ay g-aa-d , w-eh-n iy k-uh-d s-k-eh-r-s b-ih-l-iy-v hh-ih-m m-ay-n , hh-iy b-aw-d hh-ih-z ih-r t-uw m-ay k-ah-m-p-l-ey-n-t-s -- n-ow m-ao-r dh-ah w-ey-l d-ih-d m-iy k-ah-n-f-ay-n .	" 0 1 0/1 , 0 1 1 1 , 1 0 1 1 0/1 1 1 , 1 1 1 1 1 1 0/1 -- 1 1 0 1 1 1 0/1 .
Then, in that contracted hole, sunk, too, beneath the ship's water-line, Jonah feels the heralding presentiment of that stifling hour, when the whale shall hold him in the smallest of his bowels' wards.	rb-,-in-in-vbd-nn-,-vbn-,-rb-,-in-dt-nns-nn-,-nnp-vbz-dt-vbg-nn-in-in-vbg-nn-,-wrb-dt-nn-md-vb-prp-in-dt-jjs-in-prp$-nns-'-nns-.	dh-eh-n , ih-n dh-ae-t k-aa-n-t-r-ae-k-t-ah-d hh-ow-l , s-ah-ng-k , t-uw , b-ih-n-iy-th dh-ah sh-ih-p-s w-ao-t-er-l-ay-n , jh-aa-n-ah f-iy-l-z dh-ah hh-eh-r-ah-l-d-ih-ng p-r-eh-z-eh-n-t-ah-m-ah-n-t ah-v dh-ae-t s-t-ay-f-l-ih-ng aw-er , w-eh-n dh-ah w-ey-l sh-ae-l hh-ow-l-d hh-ih-m ih-n dh-ah s-m-ao-l-ah-s-t ah-v hh-ih-z b-aa-ah-l-z ' w-ao-r-d-z .	1 , 0 1 1/0/0 1 , 1 , 1 , 0/1 0 1 1/0/1 , 1/0 1 0 1/0/0 1/1/0/0 1 1 1/0 1/0 , 1 0 1 1 1 1 0 0 1/0 1 1 1 ' 1 .
He sees no black sky and raging sea, feels not the reeling timbers, and little hears he or heeds he the far rush of the mighty whale, which even now with open mouth is cleaving the seas after him.	prp-vbz-dt-jj-nn-cc-vbg-nn-,-nns-rb-dt-vbg-nns-,-cc-jj-vbz-prp-cc-vbz-prp-dt-jj-nn-in-dt-jj-nn-,-wdt-rb-rb-in-jj-nn-vbz-nn-dt-nns-in-prp-.	hh-iy s-iy-z n-ow b-l-ae-k s-k-ay ae-n-d r-ey-jh-ih-ng s-iy , f-iy-l-z n-aa-t dh-ah r-iy-l-ih-ng t-ih-m-b-er-z , ae-n-d l-ih-t-ah-l hh-ih-r-z hh-iy ao-r hh-iy-d-z hh-iy dh-ah f-aa-r r-ah-sh ah-v dh-ah m-ay-t-iy w-ey-l , w-ih-ch iy-v-ih-n n-aw w-ih-dh ow-p-ah-n m-aw-th ih-s k-l-iy-v-ih-ng dh-ah s-iy-z ae-f-t-er hh-ih-m .	1 1 1 1 1 1 1/0 1 , 1 1 0 1/0 1/0 , 1 1/0 1 1 1 1 1 0 1 1 1 0 1/0 1 , 1 1/0 1 1 1/0 1 1 0/0 0 1 1/0 1 .
He goes down in the whirling heart of such a masterless commotion that he scarce heeds the moment when he drops seething into the yawning jaws awaiting him; and the whale shoots-to all his ivory teeth, like so many white bolts, upon his prison.	prp-vbz-rb-in-dt-vbg-nn-in-jj-dt-nns-nn-in-prp-jj-vbz-dt-nn-wrb-prp-vbz-vbg-in-dt-vbg-nns-vbg-prp-;-cc-dt-nn-nn-dt-prp$-nn-nns-,-in-rb-jj-jj-nns-,-in-prp$-nn-.	hh-iy g-ow-z d-aw-n ih-n dh-ah w-er-l-ih-ng hh-aa-r-t ah-v s-ah-ch ey m-ae-s-t-er-l-ah-s k-ah-m-ow-sh-ah-n dh-ae-t hh-iy s-k-eh-r-s hh-iy-d-z dh-ah m-ow-m-ah-n-t w-eh-n hh-iy d-r-aa-p-s s-iy-th-ih-ng ih-n-t-uw dh-ah y-ao-n-ih-ng jh-ao-z ah-w-ey-t-ih-ng hh-ih-m ; ae-n-d dh-ah w-ey-l sh-uw-t-s-t-ow ao-l hh-ih-z ay-v-er-iy t-iy-th , l-ay-k s-ow m-eh-n-iy w-ay-t b-ow-l-t-s , ah-p-aa-n hh-ih-z p-r-ih-z-ah-n .	1 1 1 0 0 1/0 1 1 1 1 1/0/0 0/1/0 1 1 1 1 0 1/0 1 1 1 1/0 0/1 0 1/0 1 0/1/0 1 ; 1 0 1 1/0 1 1 1/0/0 1 , 1 1 1/0 1 1 , 0/1 1 1/0 .
And how pleasing to God was this conduct in Jonah, is shown in the eventual deliverance of him from the sea and the whale.	cc-wrb-jj-to-nnp-vbd-dt-nn-in-nnp-,-vbz-vbn-in-dt-jj-nn-in-prp-in-dt-nn-cc-dt-nn-.	ae-n-d hh-aw p-l-iy-z-ih-ng t-uw g-aa-d w-aa-z dh-ih-s k-ah-n-d-ah-k-t ih-n jh-aa-n-ah , ih-s sh-ow-n ih-n dh-ah ah-v-eh-n-ch-uw-ah-l d-ih-l-ih-v-er-ah-n-s ah-v hh-ih-m f-r-ah-m dh-ah s-iy ae-n-d dh-ah w-ey-l .	1 1 1/0 1 1 1 1 0/1 0 1/0 , 1 1 0 0 0/1/0/0 0/1/0/0 1 1 1 0 1 1 0 1 .
As we have seen, God came upon him in the whale, and swallowed him down to living gulfs of doom, and with swift slantings tore him along 'into the midst of the seas,' where the eddying depths sucked him ten thousand fathoms down, and 'the weeds were wrapped about his head,' and all the watery world of woe bowled over him.	in-prp-vbp-vbn-,-nnp-vbd-in-prp-in-dt-nn-,-cc-vbn-prp-rb-to-vbg-nns-in-nn-,-cc-in-jj-nns-vbd-prp-in-nn-dt-nn-in-dt-nns-,-'-wrb-dt-nn-nns-vbd-prp-nn-nn-vbz-rb-,-cc-nn-vbz-vbd-vbn-in-prp$-nn-,-'-cc-dt-dt-jj-nn-in-nn-vbn-in-prp-.	ae-z w-iy hh-ae-v s-iy-n , g-aa-d k-ey-m ah-p-aa-n hh-ih-m ih-n dh-ah w-ey-l , ae-n-d s-w-aa-l-ow-d hh-ih-m d-aw-n t-uw l-ih-v-ih-ng g-ah-l-f-s ah-v d-uw-m , ae-n-d w-ih-dh s-w-ih-f-t s-l-ae-n-t-ih-ng-z t-ao-r hh-ih-m ah-l-ao-ng ih-n-t-ow dh-ah m-ih-d-s-t ah-v dh-ah s-iy-z , ' w-eh-r dh-ah eh-d-iy-ih-ng d-ah-p-th-s s-ah-k-t hh-ih-m t-eh-n th-aw-s-ah-n-d f-ae-th-ah-m-z d-aw-n , ae-n-d dh w-iy-d-z w-er r-ae-p-t ah-b-aw-t hh-ih-z hh-eh-d , ' ae-n-d ao-l dh-ah w-ao-t-er-iy w-er-l-d ah-v w-ow b-ow-l-d ow-v-er hh-ih-m .	1 1 1 1 , 1 1 0/1 1 0 0 1 , 1 1/0 1 1 1 1/0 1 1 1 , 1 1 1 1/0 1 1 0/1 1/0 0 1 1 0 1 , ' 1 0 1/0 0 1 1 1 1/0 1/0 1 , 1 0 1 0 1 0/1 1 1 , ' 1 1 0 1/0/0 1 1 1 1 1/0 1 .
Yet even then beyond the reach of any plummet--'out of the belly of hell'--when the whale grounded upon the ocean's utmost bones, even then, God heard the engulphed, repenting prophet when he cried.	rb-rb-rb-in-dt-nn-in-dt-nn-cd-nn-in-dt-rb-in-nn-'-cd-wrb-dt-nn-vbn-in-dt-nns-jj-nns-,-rb-rb-,-nnp-vbn-dt-nn-,-nn-nn-wrb-prp-vbd-.	y-eh-t iy-v-ih-n dh-eh-n b-ih-aa-n-d dh-ah r-iy-ch ah-v eh-n-iy p-l-ah-m-ah-t -- aw-t ah-v dh-ah b-eh-l-iy ah-v hh-eh-l ' -- w-eh-n dh-ah w-ey-l g-r-aw-n-d-ih-d ah-p-aa-n dh-ah ow-sh-ah-n-z ah-t-m-ow-s-t b-ow-n-z , iy-v-ih-n dh-eh-n , g-aa-d hh-er-d dh-ah eh-ng-g-ah-l-f-t , r-ah-p-eh-n-t-ih-ng p-r-aa-f-ah-t w-eh-n hh-iy k-r-ay-d .	1 1/0 1 0/1 0 1 1 1/0 1/0 -- 1 1 0 1/0 1 1 ' -- 1 0 1 1/0 0/1 0 1/0 1/0 1 , 1/0 1 , 1 1 0 1/1 , 0/1/0 1/0 1 1 1 .
When a new-hatched savage running wild about his native woodlands in a grass clout, followed by the nibbling goats, as if he were a green sapling; even then, in Queequeg's ambitious soul, lurked a strong desire to see something more of Christendom than a specimen whaler or two.	wrb-dt-nn-jj-vbg-jj-in-prp$-jj-nns-in-dt-nn-nn-,-vbd-in-dt-vbg-nns-,-in-in-prp-vbd-dt-jj-nn-;-rb-rb-,-in-nnps-jj-nn-,-vbd-dt-jj-nn-to-vb-nn-jjr-in-nnp-in-dt-nn-nn-cc-cd-.	w-eh-n ey n-uw-hh-ae-ch-t s-ae-v-ih-jh r-ah-n-ih-ng w-ay-l-d ah-b-aw-t hh-ih-z n-ey-t-ih-v w-uh-d-l-ae-n-d-z ih-n ey g-r-ae-s k-l-aw-t , f-aa-l-ow-d b-ay dh-ah n-ih-b-ah-l-ih-ng g-ow-t-s , ae-z ih-f hh-iy w-er ey g-r-iy-n s-ae-p-ah-l-ih-ng ; iy-v-ih-n dh-eh-n , ih-n k-w-iy-k-w-g-z ae-m-b-ih-sh-ah-s s-ow-l , l-er-k-t ey s-t-r-ao-ng d-ih-z-ay-er t-uw s-iy s-ah-m-th-ih-ng m-ao-r ah-v k-r-ih-s-t-ah-n-d-ah-m dh-ae-n ey s-p-eh-s-ah-m-ah-n w-ey-l-er ao-r t-uw .	1 1 1/1 1/0 1/0 1 0/1 1 1/0 1/1 0 1 1 1 , 1/0 1 0 1/0/0 1 , 1 1 1 0 1 1 1/0/0 ; 1/0 1 , 0 1 0/1/0 1 , 1 1 1 0/1/0 1 1 1/0 1 1 1/0/0 1 1 1/0/0 1/0 1 1 .
They put him down among the sailors, and made a whaleman of him.	prp-vbp-prp-rb-in-dt-nns-,-cc-vbn-dt-nn-in-prp-.	dh-ey p-uh-t hh-ih-m d-aw-n ah-m-ah-ng dh-ah s-ey-l-er-z , ae-n-d m-ey-d ey w-aa-l-m-ah-n ah-v hh-ih-m .	1 1 1 1 0/1 0 1/0 , 1 1 1 1/0 1 1 .
But, alas! the practices of whalemen soon convinced him that even Christians could be both miserable and wicked; infinitely more so, than all his father's heathens.	cc-,-uh-!-dt-nns-in-nn-rb-vbn-prp-in-rb-nnps-md-vb-nn-jj-cc-jj-;-rb-jjr-rb-,-in-dt-prp$-nns-nns-.	b-ah-t , ah-l-ae-s ! dh-ah p-r-ae-k-t-ah-s-ah-z ah-v w-aa-l-m-ah-n s-uw-n k-ah-n-v-ih-n-s-t hh-ih-m dh-ae-t iy-v-ih-n k-r-ih-s-ch-iy-ah-n-z k-uh-d b-iy b-aa-th m-ih-z-er-ah-b-ah-l ae-n-d w-ih-k-ah-d ; ih-n-f-ah-n-ah-t-l-iy m-ao-r s-ow , dh-ae-n ao-l hh-ih-z f-aa-dh-er-z hh-eh-th-ah-n-z .	1 , 0/1 ! 0 1/0/0 1 1/0 1 0/1 1 1 1/0 1/0 1 1 1 1/0/0/0 1 1/0 ; 1/0/0/0 1 1 , 1 1 1 1/0 1/0 .
Upon this, I told him that whaling was my own design, and informed him of my intention to sail out of Nantucket, as being the most promising port for an adventurous whaleman to embark from.	in-dt-,-prp-vbd-prp-in-nn-vbd-prp$-jj-nn-,-cc-vbn-prp-in-prp$-nn-to-vb-in-in-nnp-,-in-vbg-dt-jj-jj-nn-in-dt-jj-nn-to-vb-in-.	ah-p-aa-n dh-ih-s , iy t-ow-l-d hh-ih-m dh-ae-t w-ey-l-ih-ng w-aa-z m-ay ow-n d-ih-z-ay-n , ae-n-d ih-n-f-ao-r-m-d hh-ih-m ah-v m-ay ih-n-t-eh-n-ch-ah-n t-uw s-ey-l aw-t ah-v n-ae-n-t-ah-k-ah-t , ae-z b-iy-ih-ng dh-ah m-ow-s-t p-r-aa-m-ah-s-ih-ng p-ao-r-t f-ao-r ae-n ae-d-v-eh-n-ch-er-ah-s w-aa-l-m-ah-n t-uw eh-m-b-aa-r-k f-r-ah-m .	0/1 1 , 0 1 1 1 1/0 1 1 1 0/1 , 1 0/1 1 1 1 0/1/0 1 1 1 1 1/1/0 , 1 1/0 0 1 1/0/0 1 1 1 0/1/0/0 1/0 1 0/1 1 .
To this, in substance, he replied, that though what I hinted was true enough, yet he had a particular affection for his own harpoon, because it was of assured stuff, well tried in many a mortal combat, and deeply intimate with the hearts of whales.	to-dt-,-in-nn-,-prp-vbd-,-in-in-wp-prp-vbd-vbd-jj-rb-,-rb-prp-vbd-dt-jj-nn-in-prp$-jj-nn-,-in-prp-vbd-in-vbn-nn-,-rb-vbd-in-jj-dt-jj-nn-,-cc-rb-jj-in-dt-nns-in-nns-.	t-uw dh-ih-s , ih-n s-ah-b-s-t-ah-n-s , hh-iy r-ih-p-l-ay-d , dh-ae-t dh-ow w-ah-t iy hh-ih-n-t-ah-d w-aa-z t-r-uw ih-n-ah-f , y-eh-t hh-iy hh-ae-d ey p-er-t-ih-k-y-ah-l-er ah-f-eh-k-sh-ah-n f-ao-r hh-ih-z ow-n hh-aa-r-p-uw-n , b-ih-k-ao-z ih-t w-aa-z ah-v ah-sh-uh-r-d s-t-ah-f , w-eh-l t-r-ay-d ih-n m-eh-n-iy ey m-ao-r-t-ah-l k-aa-m-b-ae-t , ae-n-d d-iy-p-l-iy ih-n-t-ah-m-ah-t w-ih-dh dh-ah hh-aa-r-t-s ah-v w-ah-l-z .	1 1 , 0 1/0 , 1 0/1 , 1 1 1 0 1/0 1 1 0/1 , 1 1 1 1 0/1/0/0 0/1/0 1 1 1 0/1 , 0/1 1 1 1 0/1 1 , 1 1 0 1/0 1 1/0 1/0 , 1 1/0 1/0/0 1 0 1 1 0 .
"Kill-e," cried Queequeg, twisting his tattooed face into an unearthly expression of disdain, "ah! him bevy small-e fish-e; Queequeg no kill-e so small-e fish-e; Queequeg kill-e big whale!"	"-nnp-,-"-vbd-nnp-,-vbg-prp$-vbn-nn-in-dt-rb-nn-in-nn-,-"-nn-!-prp-nn-nn-nn-;-nnp-dt-nn-rb-nn-nn-;-nnp-nn-jj-nn-!-"	" k-ih-l , " k-r-ay-d k-w-iy-k-g , t-w-ih-s-t-ih-ng hh-ih-z t-ae-t-uw-d f-ey-s ih-n-t-uw ae-n ah-n-er-th-l-iy ih-k-s-p-r-eh-sh-ah-n ah-v d-ih-s-d-ey-n , " ah ! hh-ih-m b-eh-v-iy s-m-ao-l f-ih-sh ; k-w-iy-k-g n-ow k-ih-l s-ow s-m-ao-l f-ih-sh ; k-w-iy-k-g k-ih-l b-ih-g w-ey-l ! "	" 1 , " 1 1 , 1/0 1 0/1 1 0/1 1 0/1/0 0/1/0 1 0/1 , " 0 ! 1 1/0 1 1 ; 1 1 1 1 1 1 ; 1 1 1 1 ! "
Nothing was done, and nothing seemed capable of being done; those on deck rushed towards the bows, and stood eyeing the boom as if it were the lower jaw of an exasperated whale.	nn-vbd-vbn-,-cc-nn-vbd-jj-in-vbg-vbn-;-dt-in-nn-vbd-in-dt-nns-,-cc-vbd-vbg-dt-nn-in-in-prp-vbd-dt-jjr-nn-in-dt-jj-nn-.	n-ah-th-ih-ng w-aa-z d-ah-n , ae-n-d n-ah-th-ih-ng s-iy-m-d k-ey-p-ah-b-ah-l ah-v b-iy-ih-ng d-ah-n ; dh-ow-z aa-n d-eh-k r-ah-sh-t t-ah-w-ao-r-d-z dh-ah b-aw-z , ae-n-d s-t-uh-d ay-ih-ng dh-ah b-uw-m ae-z ih-f ih-t w-er dh-ah l-ow-er jh-ao ah-v ae-n ih-g-z-ae-s-p-er-ey-t-ih-d w-ey-l .	1/0 1 1 , 1 1/0 1 1/0/0 1 1/0 1 ; 1 1 1 1 0/1 0 1 , 1 1 1/0 0 1 1 1 1 0 0 1/0 1 1 1 0/1/0/0/0 1 .
With the landless gull, that at sunset folds her wings and is rocked to sleep between billows; so at nightfall, the Nantucketer, out of sight of land, furls his sails, and lays him to his rest, while under his very pillow rush herds of walruses and whales.	in-dt-nns-nn-,-in-in-nn-vbz-prp$-nns-cc-vbz-vbd-to-vb-in-nns-;-rb-in-nn-,-dt-nnp-,-in-in-nn-in-nn-,-nns-prp$-nns-,-cc-vbz-prp-to-prp$-nn-,-in-in-prp$-rb-nn-nn-vbz-in-nns-cc-nns-.	w-ih-dh dh-ah l-ae-n-d-l-ah-s g-ah-l , dh-ae-t ae-t s-ah-n-s-eh-t f-ow-l-d-z hh-er w-ih-ng-z ae-n-d ih-s r-aa-k-t t-uw s-l-iy-p b-ih-t-w-iy-n b-ih-l-ow-z ; s-ow ae-t n-ay-t-f-ao-l , dh-ah n-ae-n-t-ah-k-ah-t-er , aw-t ah-v s-ay-t ah-v l-ae-n-d , f-er-l-z hh-ih-z s-ey-l-z , ae-n-d l-ey-z hh-ih-m t-uw hh-ih-z r-eh-s-t , w-ay-l ah-n-d-er hh-ih-z v-eh-r-iy p-ih-l-ow r-ah-sh hh-er-d-z ah-v w-ao-l-r-ah-s-ah-z ae-n-d w-ah-l-z .	1 0 1/0 1 , 1 1 1/0 1 0 1 1 1 1 1 1 0/1 1/0 ; 1 1 1/0 , 0 1/1/0/0 , 1 1 1 1 1 , 1 1 1 , 1 1 1 1 1 1 , 1 1/0 1 1/0 1/0 1 1 1 1/0/0 1 0 .
It's ominous, thinks I. A Coffin my Innkeeper upon landing in my first whaling port; tombstones staring at me in the whalemen's chapel; and here a gallows! and a pair of prodigious black pots too!	nnps-jj-,-vbz-nnp-dt-nnp-prp$-nnp-in-vbg-in-prp$-jj-nn-nn-;-nns-vbg-in-prp-in-dt-nns-nn-;-cc-rb-dt-nn-!-cc-dt-nn-in-jj-jj-nns-rb-!	ih-t-s aa-m-ah-n-ah-s , th-ih-ng-k-s iy . ey k-ao-f-ih-n m-ay ih-ng-k-iy-p-er ah-p-aa-n l-ae-n-d-ih-ng ih-n m-ay f-er-s-t w-ey-l-ih-ng p-ao-r-t ; t-uw-m-s-t-ow-n-z s-t-eh-r-ih-ng ae-t m-iy ih-n dh-ah w-aa-l-m-ah-n-z ch-ae-p-ah-l ; ae-n-d hh-ih-r ey g-ae-l-ow-z ! ae-n-d ey p-eh-r ah-v p-r-ah-d-ih-jh-ah-s b-l-ae-k p-aa-t-s t-uw !	1 1/0/0 , 1 0 . 1 1/0 1 1/1/0 0/1 1/0 0 1 1 1/0 1 ; 1/1 1/0 1 1 0 0 1/0 1/0 ; 1 1 1 1/0 ! 1 1 1 1 0/1/0 1 1 1 !
"Why not?" said I; "every true whaleman sleeps with his harpoon--but why not?"	"-wrb-rb-?-"-vbd-prp-;-"-dt-jj-nn-vbz-in-prp$-nn-cd-cc-wrb-rb-?-"	" w-ay n-aa-t ? " s-eh-d iy ; " eh-v-er-iy t-r-uw w-aa-l-m-ah-n s-l-iy-p-s w-ih-dh hh-ih-z hh-aa-r-p-uw-n -- b-ah-t w-ay n-aa-t ? "	" 1 1 ? " 1 0 ; " 1/0/0 1 1/0 1 1 1 0/1 -- 1 1 1 ? "
I had not a little relied upon Queequeg's sagacity to point out the whaler best fitted to carry us and our fortunes securely.	prp-vbd-rb-dt-jj-vbn-in-nnps-nn-to-nn-in-dt-nn-jjs-vbn-to-vb-prp-cc-prp$-nns-rb-.	iy hh-ae-d n-aa-t ey l-ih-t-ah-l r-ih-l-ay-d ah-p-aa-n k-w-iy-k-w-g-z s-ae-g-ae-s-ah-t-iy t-uw p-oy-n-t aw-t dh-ah w-ey-l-er b-eh-s-t f-ih-t-ah-d t-uw k-ae-r-iy ah-s ae-n-d aw-er f-ao-r-ch-ah-n-z s-ih-k-y-uh-r-l-iy .	0 1 1 1 1/0 0/1 0/1 1 1/1/0/0 1 1 1 0 1/0 1 1/0 1 1/0 1 1 1/0 1/0 0/1/0 .
All round, her unpanelled, open bulwarks were garnished like one continuous jaw, with the long sharp teeth of the sperm whale, inserted there for pins, to fasten her old hempen thews and tendons to.	dt-nn-,-prp$-nn-,-jj-nns-vbd-nn-in-cd-jj-nn-,-in-dt-jj-jj-nns-in-dt-nn-nn-,-vbn-ex-in-nns-,-to-vb-prp$-jj-nn-nns-cc-nns-to-.	ao-l r-aw-n-d , hh-er ah-n-p-aa-n-eh-l-d , ow-p-ah-n b-ah-l-w-aa-r-k-s w-er g-aa-r-n-ih-sh-t l-ay-k w-ah-n k-ah-n-t-ih-n-y-uw-ah-s jh-ao , w-ih-dh dh-ah l-ao-ng sh-aa-r-p t-iy-th ah-v dh-ah s-p-er-m w-ey-l , ih-n-s-er-t-ah-d dh-eh-r f-ao-r p-ih-n-z , t-uw f-ae-s-ah-n hh-er ow-l-d hh-eh-m-p-ah-n th-uw-z ae-n-d t-eh-n-d-ah-n-z t-uw .	1 1 , 0 0/0/1 , 1/0 0/1 0 1/0 1 1 0/1/0/0 1 , 1 0 1 1 1 1 0 1 1 , 0/1/0 1 1 1 , 1 1/0 0 1 1/0 1 1 1/0 1 .
